broad	ccle_name	sanger	alt_ccle	alt_broad
ACH-000285	TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01758		
ACH-000286	SNU1033_LARGE_INTESTINE	SIDM00192		
ACH-000287	NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00443		
ACH-000288	BT549_BREAST	SIDM00122		
ACH-000289	SNU466_CENTRAL_NERVOUS_SYSTEM	SIDM01447		
ACH-000290	NCIH209_LUNG	SIDM00706		
ACH-000291	OV90_OVARY	SIDM01141		
ACH-000292	NCIH841_LUNG	SIDM01134		
ACH-000293	KLE_ENDOMETRIUM	SIDM00686		
ACH-000294	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00428		
ACH-000295	EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01047		
ACH-000296	OUMS23_LARGE_INTESTINE	SIDM00036		
ACH-000297	NCIH889_LUNG	SIDM01739		
ACH-000298	NCIH2029_LUNG	SIDM00735		
ACH-000299	HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01621		
ACH-000300	SLR25_KIDNEY			
ACH-000301	LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00346		
ACH-000302	SNU1077_ENDOMETRIUM	SIDM00166		
ACH-000303	SNU5_STOMACH	SIDM01144		
ACH-000304	WM115_SKIN	SIDM01000		
ACH-000305	ECGI10_OESOPHAGUS	SIDM00278		
ACH-000306	HS688AT_FIBROBLAST	SIDM01563		
ACH-000307	PK1_PANCREAS	SIDM01321		
ACH-000308	EFO21_OVARY	SIDM01052		
ACH-000309	SKLU1_LUNG	SIDM01108		
ACH-000310	IMR32_AUTONOMIC_GANGLIA	SIDM00226		
ACH-000311	NCIH2122_LUNG	SIDM00702		
ACH-000312	SKNBE2_AUTONOMIC_GANGLIA	SIDM00894		
ACH-000313	KMRC3_KIDNEY	SIDM01659		
ACH-000314	HCC2108_LUNG	SIDM01603		
ACH-000315	KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01008		
ACH-000316	SNU886_LIVER	SIDM01434		
ACH-000317	TUHR14TKB_KIDNEY	SIDM01433		
ACH-000318	TE10_OESOPHAGUS	SIDM00349		
ACH-000319	MPP89_PLEURA	SIDM00222		
ACH-000320	PSN1_PANCREAS	SIDM00469		
ACH-000321	MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01691		
ACH-000322	HT144_SKIN	SIDM00695		
ACH-000323	42MGBA_CENTRAL_NERVOUS_SYSTEM	SIDM00982		
ACH-000324	JHOC5_OVARY	SIDM01570		
ACH-000325	SNU620_STOMACH	SIDM01781		
ACH-000326	JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01015		
ACH-000327	NCIH1395_LUNG	SIDM00644		
ACH-000328	LN215_CENTRAL_NERVOUS_SYSTEM	SIDM01644		
ACH-000329	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	SIDM00131		
ACH-000330	EFM19_BREAST	SIDM01056		
ACH-000331	ISTMES2_PLEURA	SIDM01554		
ACH-000332	YAPC_PANCREAS	SIDM00411		
ACH-000333	JHOM2B_OVARY	SIDM01730		
ACH-000334	DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00886		
ACH-000335	MSTO211H_PLEURA	SIDM00640		
ACH-000336	OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00462		
ACH-000337	NCIH3122_LUNG	SIDM00137		
ACH-000338	SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00096		
ACH-000339	HCC461_LUNG	SIDM01595		
ACH-000340	HS870T_FIBROBLAST	SIDM01749		
ACH-000341	SKNFI_AUTONOMIC_GANGLIA	SIDM01099		
ACH-000342	CL14_LARGE_INTESTINE	SIDM01491		
ACH-000343	NCIH522_LUNG	SIDM00116		
ACH-000344	SNU668_STOMACH	SIDM01443		
ACH-000345	KPNRTBM1_AUTONOMIC_GANGLIA	SIDM00557		
ACH-000346	JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01012		
ACH-000347	QGP1_PANCREAS	SIDM00360		
ACH-000348	RPMI7951_SKIN	SIDM01087		
ACH-000349	HCC1500_BREAST	SIDM00879		
ACH-000350	COLO678_LARGE_INTESTINE	SIDM00957		
ACH-000351	MKN1_STOMACH	SIDM00271		
ACH-000352	HCC1428_BREAST	SIDM00881		
ACH-000353	TE15_OESOPHAGUS	SIDM00249		
ACH-000354	CAPAN1_PANCREAS	SIDM00934		
ACH-000355	NCIH82_LUNG	SIDM01131		
ACH-000356	MKN45_STOMACH	SIDM00247		
ACH-000357	JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01038		
ACH-000358	NCIH69_LUNG	SIDM01121		
ACH-000359	MG63_BONE	SIDM00525		
ACH-000360	NCIH508_LARGE_INTESTINE	SIDM00777		
ACH-000361	SKHEP1_LIVER	SIDM01110		
ACH-000362	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00437		
ACH-000363	SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00391		
ACH-000364	U2OS_BONE	SIDM01191		
ACH-000365	SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00405		
ACH-000366	SKNDZ_AUTONOMIC_GANGLIA	SIDM01100		
ACH-000367	NCIH226_LUNG	SIDM00139		
ACH-000368	SNU1105_CENTRAL_NERVOUS_SYSTEM	SIDM01336		
ACH-000369	MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00435		
ACH-000370	SNU626_CENTRAL_NERVOUS_SYSTEM	SIDM01444		
ACH-000371	RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01089		
ACH-000372	P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00463		
ACH-000373	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00380		
ACH-000374	HCC1143_BREAST	SIDM00866		
ACH-000375	G402_SOFT_TISSUE	SIDM00855		
ACH-000376	SF295_CENTRAL_NERVOUS_SYSTEM	SIDM00084		
ACH-000377	SNU478_BILIARY_TRACT	SIDM00160		
ACH-000378	NCIH647_LUNG	SIDM01125		
ACH-000379	NCIH1781_LUNG	SIDM00754		
ACH-000380	KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01020		
ACH-000381	T84_LARGE_INTESTINE	SIDM00782		
ACH-000382	CORL24_LUNG	SIDM01490		
ACH-000383	OE33_OESOPHAGUS	SIDM00477		
ACH-000384	SW780_URINARY_TRACT	SIDM01160		
ACH-000385	SKRC20_KIDNEY			
ACH-000386	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00785		
ACH-000387	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01470		
ACH-000388	NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01780		
ACH-000389	H4_CENTRAL_NERVOUS_SYSTEM	SIDM00852		
ACH-000390	LUDLU1_LUNG	SIDM01363		
ACH-000391	MHHES1_BONE	SIDM00386		
ACH-000392	CALU3_LUNG	SIDM00922		
